stint, morph
0, a
1, b
2, c
3, b
4, b
5, b
6, b
7, b
8, b
9, b
10, b
11, b
12, b
13, b
14, d
15, e
16, e
17, e
18, e
19, e
20, e
21, e
22, e
23, e
24, e
25, e
26, b
27, e
28, b
29, e
30, e
31, e
32, e
33, e
34, e
35, e
36, e
37, e
38, e
39, f
40, e
41, e
42, e
43, e
44, e
45, g
46, g
47, g
48, g
49, g
50, g
51, g
52, g
53, e
54, g
55, g
56, g
57, g
58, g
59, h
60, g
61, e
62, g
63, g
64, e
65, e
66, g
67, g
68, e
69, g
70, e
71, e
72, e
73, g
74, i
75, i
76, g
77, i
78, e
79, g
80, e
81, e
82, e
83, e
84, e
85, e
86, e
87, e
88, e
89, g
90, g
91, e
92, i
93, e
94, e
95, b
96, b
97, h
98, e
99, e
100, j
